Band_Index,Wavelength_nm,Attn_Score
223,892.942,0.2740753
170,775.41,0.2736707
53,515.953,0.27349582
33,471.601,0.27336803
162,757.669,0.2728103
81,578.045,0.27274916
136,700.012,0.27245829
86,589.133,0.2717289
158,748.799,0.27011624
72,558.087,0.26908466
149,728.841,0.26884684
259,972.774,0.26826438
131,688.924,0.26805064
55,520.388,0.26793024
183,804.238,0.26754698
238,926.205,0.267396
272,1001.6,0.26699093
31,467.166,0.26652583
221,888.506,0.26622435
225,897.377,0.2660701
32,469.384,0.2660379
271,999.385,0.26555696
260,974.992,0.26555553
156,744.364,0.26541856
126,677.836,0.2651445
76,566.957,0.26508567
155,742.146,0.2650763
182,802.021,0.26453713
105,631.267,0.2645118
255,963.904,0.26425442
130,686.707,0.2639431
243,937.293,0.26331547
172,779.845,0.26318887
135,697.794,0.2631612
205,853.025,0.26310334
89,595.786,0.26274016
18,438.338,0.2626371
154,739.929,0.26193514
16,433.902,0.26153007
160,753.234,0.2609165
50,509.3,0.26059428
157,746.581,0.26034185
13,427.25,0.26016834
269,994.95,0.2601569
78,571.392,0.2600942
186,810.891,0.2597408
80,575.828,0.2596865
249,950.599,0.25958642
113,649.008,0.25938538
132,691.142,0.25925568
212,868.548,0.25918517
164,762.104,0.2591844
246,943.946,0.25896195
231,910.682,0.25886896
233,915.117,0.25821534
30,464.949,0.25815263
194,828.632,0.2580823
175,786.498,0.25773266
214,872.983,0.25760075
227,901.812,0.2575799
198,837.502,0.25741562
173,782.063,0.25720653
219,884.071,0.2570354
237,923.988,0.25560847
133,693.359,0.2548062
258,970.557,0.2547975
9,418.379,0.25478187
94,606.874,0.25460216
148,726.623,0.25449362
140,708.882,0.2535487
235,919.553,0.25352648
252,957.251,0.25352302
230,908.465,0.25285742
245,941.728,0.2523521
191,821.979,0.2522891
229,906.247,0.25213268
3,405.074,0.25179073
67,546.999,0.2516652
37,480.472,0.25098386
41,489.342,0.25073436
1,400.639,0.25070015
184,806.456,0.2506167
64,540.346,0.2505277
151,733.276,0.25034466
203,848.59,0.24981037
188,815.326,0.24980858
127,680.054,0.24891004
208,859.678,0.2487584
222,890.724,0.24872246
11,422.814,0.24800709
92,602.439,0.24743155
220,886.289,0.24717149
29,462.731,0.24710849
93,604.656,0.24650708
24,451.643,0.24633369
73,560.304,0.24620041
254,961.687,0.2461476
40,487.124,0.24593148
118,660.096,0.24585393
114,651.225,0.24569836
21,444.99,0.2456207
52,513.735,0.24561843
218,881.854,0.24544254
57,524.823,0.24538079
63,538.129,0.24537423
168,770.975,0.24463078
17,436.12,0.24414757
111,644.573,0.24411234
4,407.291,0.24410823
7,413.944,0.24408713
110,642.355,0.24393782
144,717.753,0.24311402
204,850.808,0.24290887
34,473.819,0.24262467
59,529.258,0.24230728
15,431.685,0.24219331
84,584.698,0.2420421
22,447.208,0.24201253
68,549.217,0.24148294
90,598.003,0.24145779
267,990.515,0.24111357
71,555.869,0.24096224
244,939.511,0.2408863
8,416.162,0.24057588
27,458.296,0.24015394
65,542.564,0.23985639
0,398.421,0.23977134
25,453.861,0.2396585
91,600.221,0.23955229
5,409.509,0.23948237
152,735.493,0.23946497
264,983.862,0.23943046
187,813.109,0.23923758
104,629.049,0.2389668
176,788.715,0.23895457
261,977.21,0.23885074
117,657.878,0.23841795
268,992.733,0.23807684
215,875.201,0.23728186
12,425.032,0.2370336
98,615.744,0.23685512
134,695.577,0.23683175
75,564.74,0.23667079
42,491.559,0.23657635
6,411.727,0.23650855
116,655.66,0.23650128
159,751.016,0.23643532
101,622.397,0.23616007
14,429.467,0.23599362
147,724.405,0.23597893
200,841.937,0.2356677
257,968.339,0.23559701
216,877.419,0.23460227
145,719.97,0.2343112
102,624.614,0.23423141
2,402.856,0.23412764
174,784.28,0.23411715
58,527.041,0.23384157
106,633.485,0.23348138
142,713.318,0.23336387
35,476.036,0.2333369
87,591.351,0.23318416
250,952.816,0.23314837
150,731.058,0.23311153
60,531.476,0.23300391
54,518.17,0.23299035
192,824.197,0.23141968
66,544.781,0.2312184
122,668.966,0.2311449
70,553.652,0.23100746
263,981.645,0.2308403
20,442.773,0.23056462
211,866.331,0.23047784
236,921.77,0.23045117
165,764.322,0.22960222
256,966.122,0.22956291
137,702.23,0.22956187
56,522.606,0.22903675
171,777.627,0.22870472
10,420.597,0.22783121
139,706.665,0.22754139
123,671.184,0.22745162
248,948.381,0.22729725
121,666.748,0.22709188
224,895.159,0.22682723
202,846.372,0.22620592
43,493.777,0.22607026
38,482.689,0.22600535
228,904.029,0.22586215
48,504.865,0.2255547
45,498.212,0.22553244
266,988.298,0.22548029
210,864.113,0.22510952
241,932.858,0.22507381
207,857.46,0.22470123
62,535.911,0.22455725
143,715.535,0.22419167
119,662.313,0.2241725
234,917.335,0.2239933
79,573.61,0.22352368
251,955.034,0.22284359
197,835.284,0.22270131
253,959.469,0.22206488
262,979.427,0.22181746
112,646.79,0.22146615
19,440.555,0.22121501
179,795.368,0.22112402
242,935.076,0.22111109
129,684.489,0.22034627
99,617.962,0.22015467
185,808.674,0.22008228
88,593.568,0.2200157
47,502.647,0.21988466
36,478.254,0.2190637
115,653.443,0.21891904
124,673.401,0.21889946
69,551.434,0.21868369
26,456.078,0.21867457
146,722.188,0.21837261
181,799.803,0.21820503
169,773.192,0.21812168
46,500.43,0.21807626
196,833.067,0.21768373
61,533.694,0.21762073
195,830.849,0.21754745
103,626.832,0.2174094
96,611.309,0.21707338
226,899.594,0.21671897
125,675.619,0.21671578
128,682.271,0.21622348
85,586.915,0.21620634
108,637.92,0.21618295
199,839.72,0.21604669
240,930.64,0.21582496
39,484.907,0.21557903
189,817.544,0.21520916
49,507.083,0.21505433
28,460.513,0.21493304
74,562.522,0.21488926
120,664.531,0.21481353
44,495.995,0.2147525
178,793.15,0.21456704
82,580.263,0.21448338
100,620.179,0.21383083
247,946.164,0.21376494
77,569.175,0.21319625
270,997.168,0.2128937
232,912.9,0.21289194
190,819.761,0.21251547
51,511.518,0.21213967
107,635.702,0.21184018
141,711.1,0.211728
97,613.526,0.21166936
161,755.452,0.21131647
83,582.48,0.21082187
95,609.091,0.21074528
138,704.447,0.21073854
166,766.539,0.21072322
213,870.766,0.2106584
217,879.636,0.21063772
23,449.425,0.21018326
177,790.933,0.20931625
167,768.757,0.20927992
206,855.243,0.20916533
163,759.887,0.20881584
180,797.586,0.2079696
193,826.414,0.2079564
265,986.08,0.20765716
153,737.711,0.20667204
239,928.423,0.20645484
209,861.895,0.2062135
201,844.155,0.20355749
109,640.137,0.20102426
